"","cyear","ccode","scode","country","year","democ","autoc","polity","polity2","region","GDP_per _capita","population"
"20",1352017,135,"PER","Peru",2017,9,0,9,9,"Central and South America",6571.92864469964,32165485
"21",1402017,140,"BRA","Brazil",2017,8,0,8,8,"Central and South America",9821.40768641008,209288278
"22",1452017,145,"BOL","Bolivia",2017,7,0,7,7,"Central and South America",3393.95581751781,11051600
"23",1502017,150,"PAR","Paraguay",2017,9,0,9,9,"Central and South America",4365.52616174354,6811297
"24",1552017,155,"CHL","Chile",2017,10,0,10,10,"Central and South America",15346.4496997595,18054726
"25",1602017,160,"ARG","Argentina",2017,9,0,9,9,"Central and South America",14401.9748546081,44271041
"26",1652017,165,"URU","Uruguay",2017,10,0,10,10,"Central and South America",16245.5983677431,3456750
"27",2002017,200,"UKG","United Kingdom",2017,10,0,10,10,"Europe and North America",39720.4434267836,66022273
"28",2052017,205,"IRE","Ireland",2017,10,0,10,10,"Europe and North America",69330.6901544912,4813608
"29",2102017,210,"NTH","Netherlands",2017,10,0,10,10,"Europe and North America",48223.1554941825,17132854
"30",2112017,211,"BEL","Belgium",2017,8,0,8,8,"Europe and North America",43323.8073364711,11372068
"31",2122017,212,"LUX","Luxembourg",2017,10,0,10,10,"Europe and North America",104103.036746518,599449
"32",2202017,220,"FRN","France",2017,9,0,9,9,"Europe and North America",38476.6586361575,67118648
"33",2252017,225,"SWZ","Switzerland",2017,10,0,10,10,"Europe and North America",80189.6968607849,8466017
"34",2302017,230,"SPN","Spain",2017,10,0,10,10,"Europe and North America",28156.8158362352,46572028
"35",2352017,235,"POR","Portugal",2017,10,0,10,10,"Europe and North America",21136.2972102005,10293718
"36",2552017,255,"GMY","Germany",2017,10,0,10,10,"Europe and North America",44469.9090607244,82695000
"37",2902017,290,"POL","Poland",2017,10,0,10,10,"Europe and North America",13811.6642436808,37975841
"38",3052017,305,"AUS","Austria",2017,10,0,10,10,"Europe and North America",47290.9116498316,8809212
"39",3102017,310,"HUN","Hungary",2017,10,0,10,10,"Europe and North America",14224.8464577027,9781127
"40",3162017,316,"CZR","Czech Republic",2017,9,0,9,9,"Europe and North America",20368.1385576071,10591323
"41",3172017,317,"SLO","Slovak Republic",2017,10,0,10,10,"Europe and North America",17604.950976993,5439892
"42",3252017,325,"ITA","Italy",2017,10,0,10,10,"Europe and North America",31952.9759206841,60551416
"43",3392017,339,"ALB","Albania",2017,9,0,9,9,"Europe and North America",4537.8624924478,2873457
"44",3412017,341,"KOS","Kosovo",2017,8,0,8,8,"Europe and North America",3893.96982393753,1830700
"45",3422017,342,"SER","Serbia",2017,9,1,8,8,"Europe and North America",5900.0381075126,7022268
"46",3432017,343,"MAC","Macedonia, FYR",2017,9,0,9,9,"Europe and North America",5442.6,2083160
"47",3442017,344,"CRO","Croatia",2017,9,0,9,9,"Europe and North America",13294.5149256785,4125700
"48",3462017,346,"BOS","Bosnia and Herzegovina",2017,-66,-66,-66,NA,"Europe and North America",5180.6,3507017
"49",3492017,349,"SLV","Slovenia",2017,10,0,10,10,"Europe and North America",23597.2917255702,2066748
"50",3502017,350,"GRC","Greece",2017,10,0,10,10,"Europe and North America",18613.4238733817,10760421
"51",3522017,352,"CYP","Cyprus",2017,10,0,10,10,"Asia",25233.570984591,1179551
"52",3552017,355,"BUL","Bulgaria",2017,9,0,9,9,"Europe and North America",8031.59844245699,7075991
"53",3592017,359,"MLD","Moldova",2017,9,0,9,9,"Europe and North America",2289.87771873439,3549750
"54",3602017,360,"RUM","Romania",2017,9,0,9,9,"Europe and North America",10813.7166001986,19586539
"55",3652017,365,"RUS","Russian Federation",2017,5,1,4,4,"Europe and North America",10743.1,144495044
"56",3662017,366,"EST","Estonia",2017,9,0,9,9,"Europe and North America",19704.655040239,1315480
"57",3672017,367,"LAT","Latvia",2017,8,0,8,8,"Europe and North America",15594.2860155406,1940740
